Array Size, Basic Operations, Execution Time(ms)
451000,1651256,9
451000,1515792,6
451000,2868390,10
451000,1145987,6
451000,1918045,8
456000,2412077,14
456000,1114132,7
456000,1549859,9
456000,1328020,9
456000,2007651,9
456000,965063,6
456000,1306730,9
456000,1004954,5
456000,1424142,8
456000,1725296,9
461000,2906548,16
461000,1109223,7
461000,2094456,13
461000,2231061,9
461000,1979432,10
461000,1076498,6
461000,1899531,8
461000,1020642,7
461000,1349710,8
461000,1348510,8
466000,1144407,7
466000,1565523,8
466000,1509130,8
466000,1136948,7
466000,1107352,9
466000,1933743,8
466000,1643683,7
466000,855472,5
466000,1548725,8
466000,2297530,14
471000,2057060,9
471000,1313352,8
471000,1319355,8
471000,1663561,6
471000,1327137,7
471000,1682326,10
471000,1615226,7
471000,821173,4
471000,1258455,11
471000,2022092,12
476000,1400628,11
476000,2213637,15
476000,1460416,7
476000,2098134,13
476000,995963,7
476000,1807027,9
476000,1501516,6
476000,1943726,10
476000,2056140,9
476000,1555572,8
481000,1739812,9
481000,986336,6
481000,2035836,11
481000,1182539,6
481000,1332010,7
481000,2248369,12
481000,1465019,8
481000,1491861,7
481000,1047104,8
481000,1035302,6
486000,1617863,7
486000,1358284,8
486000,1857312,10
486000,2441003,11
486000,1833323,12
486000,2216828,12
486000,1666598,15
486000,1969367,12
486000,1677578,7
486000,1707727,9
491000,1326712,7
491000,1772268,8
491000,2005377,9
491000,1432350,9
491000,3130824,14
491000,2213310,10
491000,1176193,7
491000,1335182,7
491000,936651,6
491000,2353439,15
496000,1725005,9
496000,1053660,9
496000,1660010,12
496000,1747843,7
496000,2324616,9
496000,1598185,13
496000,1326772,7
496000,1570854,7
496000,1686023,14
496000,1488562,10
501000,1494827,8
501000,1131477,6
501000,1896354,15
501000,1580128,9
501000,1779248,11
501000,2106418,10
501000,2180696,12
501000,1403593,9
501000,1886559,9
501000,1368826,9
